"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",2683.08923442647,0.0496248013835474,0.107086345838772,0.46340923294051,0.643071061842425,0.863977247539092
"0610009B22Rik",364.440460567397,-0.144307952910003,0.0839231920388145,-1.71952411966481,0.0855189796429525,0.39260028297466
"0610009E02Rik",6.50132092692838,-0.145544672500529,0.264157454174308,-0.550976965444593,0.58164946508911,0.836454990921316
"0610009L18Rik",9.6876682520927,0.285742114458233,0.277871802186683,1.02832353700381,0.303797662938305,0.659290587177059
"0610010F05Rik",238.913073009814,0.17180314741755,0.132388597490834,1.29771861530178,0.194384044508217,0.556740240125203
"0610010K14Rik",26.5185958032658,0.0549188299476497,0.237282039231018,0.231449586852972,0.816965546006616,0.939471366017789
"0610012D04Rik",2.00372904081546,0.211434844190634,0.621820874609722,0.340025323729021,0.73383745735994,0.904916147597776
"0610012G03Rik",856.770095924636,-0.115180850613082,0.125191486994447,-0.920037403327516,0.357553213610841,0.704449830030202
"0610025J13Rik",1.38600507059298,0.15380452514221,0.780848738198088,0.19697095944233,0.843850263572285,NA
"0610030E20Rik",653.692363080701,0.0499211256394336,0.0988609790733116,0.504962889376343,0.613584901378596,0.85022574223087
"0610031O16Rik",570.888966432236,0.28021596220635,0.198739369886798,1.40996704561336,0.158549413805548,0.510887260417763
"0610038B21Rik",2.06350282033952,-0.967674251621088,0.623412632401219,-1.55222111540131,0.120609325382241,0.457129814170708
"0610039K10Rik",5.10761515263008,-0.953770974717594,0.488206173665445,-1.95362333818251,0.0507457785164142,0.310582487729984
"0610040B10Rik",29.0451315859362,0.0544229271058154,0.192989504357916,0.281999413837983,0.777943959759417,0.92250311968458
"0610040F04Rik",1.37034911295442,-1.01589961473892,0.758929743178044,-1.33859507269383,0.180702531065133,NA
"0610040J01Rik",489.375524462346,0.112855684446403,0.1278213604262,0.882917253189163,0.377280981018198,0.716653177203127
"0610043K17Rik",35.0668663225061,0.0735430685104333,0.228752058464546,0.321496859980526,0.747833891442186,0.910770493917563
"1010001B22Rik",6.55446629688186,0.672292516260095,0.315150819144611,2.13324058012873,0.0329049957964769,0.256890102265972
"1010001N08Rik",48.378237758408,0.234678114431779,0.14728097298202,1.59340415588121,0.111069554013731,0.440446642546538
"1110002E22Rik",19.7780702111743,0.453442242248707,0.354317115511967,1.27976386800708,0.200628194868054,0.564130086999782
"1110002J07Rik",10.9722480970002,0.352028598868667,0.296769339044869,1.18620272566447,0.235542250112684,0.59824272099819
"1110002L01Rik",30.8486503865986,0.0207819869670369,0.187468976479207,0.110855605857228,0.911730849938603,0.973882802380569
"1110002O04Rik",0.0331647489289143,-0.142832266632043,3.07946771812112,-0.0463821282462378,0.963005680774857,NA
"1110003F10Rik",5.98727533823198,-0.461984362276518,0.333954861329113,-1.38337367043515,0.166550319494758,0.521874645141424
"1110004F10Rik",848.540494975046,-0.0444350916526475,0.0984974837286852,-0.451129206255112,0.651896428981145,0.868145426554615
"1110006O24Rik",15.0878432667412,0.168641309977157,0.282934039699911,0.596044612221362,0.551145424131771,0.82010958064863
"1110008P14Rik",282.613597763163,-0.241027701490413,0.124461159822769,-1.93656962407898,0.0527979740889135,0.316069079571039
"1110012L19Rik",179.947066543026,-0.0439220263624615,0.126630435942146,-0.346852050501731,0.728702471012184,0.903032137697388
"1110013H19Rik",16.2971981453626,0.235860534521867,0.285735362509813,0.825450978311327,0.409115603009253,0.739447050569571
"1110015O18Rik",0.0949810079336094,0.1666399882671,3.07884886282084,0.054124120959424,0.956836274664333,NA
"1110017D15Rik",0.999046722538469,0.768343173614802,0.763300692943302,1.00660615235662,0.314124076746806,NA
