,0
399,CHRND
400,CHRNG
401,EIF4E2
402,EFHD1
403,GIGYF2
404,SNORC
405,NGEF
406,NEU2
407,INPP5D
408,ATG16L1
409,SAG
410,DGKD
411,USP40
412,UGT1A7C
413,UGT1A6A
414,DNAJB3
415,MROH2A
416,HJURP
417,GLRP1
418,GM19589
419,GM29336
420,ARL4C
421,PLATR5
422,SH3BP4
423,AGAP1
424,GM28499
425,GBX2
426,D130058E05RIK
427,IQCA
428,4930434B07RIK
429,ACKR3
430,COPS8
431,COL6A3
432,MLPH
433,RAB17
434,LRRFIP1
435,RBM44
436,RAMP1
437,UBE2F
438,SCLY
439,GM17090
440,ESPNL
441,KLHL30
442,ERFE
443,ILKAP
444,HES6
445,PER2
446,TRAF3IP1
447,ASB1
448,GM29100
449,TWIST2
450,GM29101
451,HDAC4
452,NDUFA10
453,COPS9
454,OTOS
455,GPC1
456,GM29480
457,ANKMY1
458,DUSP28
459,5033417F24RIK
460,RNPEPL1
461,9430060I03RIK
462,CAPN10
463,GPR35
464,KIF1A
465,AGXT
466,MAB21L4
467,CROCC2
468,SNED1
469,MTERF4
470,GM28535
471,PASK
472,PPP1R7
473,ANO7
474,HDLBP
475,SEPT2
476,FARP2
477,STK25
478,BOK
479,THAP4
480,ATG4B
481,DTYMK
482,ING5
483,D2HGDH
484,PDCD1
485,FAM174A
486,ST8SIA4
487,D1ERTD622E
488,PPIP5K2
489,GIN1
490,PAM
491,B230216N24RIK
492,1810006J02RIK
493,GM7967
494,GM28187
495,RNF152
496,PIGN
497,RELCH
498,TNFRSF11A
499,GM7160
500,ZCCHC2
501,PHLPP1
502,A530053M12RIK
503,BCL2
504,KDSR
505,VPS4B
506,SERPINB5
507,SERPINB7
508,SERPINB2
509,SERPINB8
510,DSEL
511,TSN
512,NIFK
513,CLASP1
514,2900060B14RIK
515,TFCP2L1
516,GLI2
517,INHBB
518,RALB
519,GM27184
520,TMEM185B
521,EPB41L5
522,PTPN4
523,TMEM177
524,CFAP221
525,SCTR
526,TMEM37
527,DBI
528,3110009E18RIK
529,STEAP3
530,MARCO
531,EN1
532,GM29346
533,INSIG2
534,2210011K15RIK
535,CCDC93
536,DDX18
537,ACTR3
538,SLC35F5
539,GPR39
540,LYPD1
541,NCKAP5
542,MGAT5
543,TMEM163
544,2900009J06RIK
545,CCNT2
546,RAB3GAP1
547,ZRANB3
548,R3HDM1
549,UBXN4
550,LCT
551,MCM6
552,DARS
553,CXCR4
554,GM15675
555,CD55
556,PFKFB2
557,YOD1
558,AA986860
559,FCMR
560,IL24
561,IL19
562,IL10
563,MAPKAPK2
564,DYRK3
565,EIF2D
566,RASSF5
567,IKBKE
568,SRGAP2
569,FAM72A
570,CTSE
571,RAB7B
572,SLC26A9
573,PM20D1
574,SLC41A1
575,RAB29
576,NUCKS1
577,SLC45A3
578,ELK4
579,MFSD4A
580,CDK18
581,GM29630
582,KLHDC8A
583,NUAK2
584,TMCC2
585,DSTYK
586,6030442K20RIK
587,RBBP5
588,TMEM81
589,CNTN2
590,NFASC
591,LRRN2
592,MDM4
593,PIK3C2B
594,PPP1R15B
595,PLEKHA6
596,ETNK2
597,SOX13
598,SNRPE
599,ZC3H11A
600,GM38394
601,LAX1
602,ATP2B4
603,PRELP
604,FMOD
605,BTG2
606,CHIL1
607,MYBPH
608,ADORA1
609,MYOG
610,PPFIA4
611,TMEM183A
612,CYB5R1
613,ADIPOR1
614,KLHL12
615,RABIF
616,KDM5B
617,SYT2
618,PPP1R12B
619,UBE2T
620,LGR6
621,PTPN7
622,ARL8A
623,GPR37L1
624,ELF3
625,RNPEP
626,TIMM17A
627,LMOD1
628,SHISA4
629,IPO9
630,NAV1
631,CSRP1
632,PHLDA3
633,TNNI1
634,LAD1
635,TNNT2
636,PKP1
637,IGFN1
638,TMEM9
639,CACNA1S
640,GM15850
641,KIF21B
642,INAVA
643,CAMSAP2
644,9230116N13RIK
645,DDX59
646,KIF14
647,GM33994
648,ZFP281
649,GM19705
650,PLATR22
651,NR5A2
652,A430106G13RIK
653,PTPRC
654,ATP6V1G3
655,NEK7
656,LHX9
657,2310009B15RIK
658,DENND1B
659,4930596I21RIK
660,ZBTB41
661,ASPM
662,CFHR2
663,CFH
664,KCNT2
665,CDC73
666,B3GALT2
667,GLRX2
668,RO60
669,UCHL5
670,GM29170
671,RGS2
672,RGS1
673,RGS18
674,GM29514
675,BRINP3
676,A230059L01RIK
677,PLA2G4A
678,PTGS2OS
679,PTGS2
680,PTGS2OS2
681,ODR4
682,TPR
683,PRG4
684,HMCN1
685,GM10138
686,IVNS1ABP
687,SWT1
688,TRMT1L
689,RNF2
690,FAM129A
691,2810414N06RIK
692,EDEM3
693,1700025G04RIK
694,TSEN15
695,COLGALT2
696,RGL1
697,ARPC5
698,NCF2
699,SMG7
700,GM28791
701,NMNAT2
702,LAMC2
703,LAMC1
704,E330020D12RIK
705,SHCBP1L
706,DHX9
707,NPL
708,RGS8
709,RGS16
710,RNASEL
711,RGSL1
712,TEDDM2
713,GLUL
714,GM29291
715,A830008E24RIK
716,CACNA1E
717,GM9530
718,IER5
719,MR1
720,STX6
721,BC034090
722,XPR1
723,GM5532
724,ACBD6
725,QSOX1
726,CEP350
727,TOR1AIP1
728,TOR1AIP2
729,TDRD5
730,NPHS2
731,AXDND1
732,GM2000
733,SOAT1
734,ABL2
735,TOR3A
736,FAM20B
737,RALGPS2
738,ANGPTL1
739,RASAL2
740,CRYZL2
741,SEC16B
742,PAPPA2
743,COP1
744,TNR
745,4930523C07RIK
746,TNN
747,MRPS14
748,CACYBP
749,RABGAP1L
750,GM37529
751,GM37328
752,RC3H1
753,SERPINC1
754,ZBTB37
755,GAS5
756,DARS2
757,CENPL
758,KLHL20
759,ANKRD45
760,PRDX6
761,TNFSF4
762,TNFSF18
763,FASL
764,SUCO
765,PIGC
766,DNM3
767,DNM3OS
768,EEF1AKNMT
769,VAMP4
770,MYOC
771,PRRC2C
772,FMO1
773,FMO2
774,PRRX1
775,GORAB
776,KIFAP3
777,SCYL3
778,BC055324
779,METTL18
780,SELL
781,SELP
782,F5
783,SLC19A2
784,CCDC181
785,BLZF1
786,NME7
787,ATP1B1
788,GM37754
789,DPT
790,XCL1
791,SFT2D2
792,TIPRL
793,GM38190
794,GPR161
795,DCAF6
796,MPC2
797,ADCY10
798,MPZL1
799,RCSD1
800,CREG1
801,CD247
802,GM37469
803,POU2F1
804,DUSP27
805,GPA33
806,ILDR2
807,GM15853
808,TADA1
809,POGK
810,GM16701
811,GM16701-1
812,FAM78B
813,UCK2
814,TMCO1
815,ALDH9A1
816,MGST3
817,RXRG
818,LMX1A
819,PBX1
820,NUF2
821,RGS5
822,RGS4
823,HSD17B7
824,3110045C21RIK
825,DDR2
826,UAP1
827,GM37748
828,UHMK1
829,SH2D1B2
830,SH2D1B1
831,GM7694
832,NOS1AP
833,OLFML2B
834,ATF6
835,DUSP12
836,GM26620
837,FCRLB
838,FCRLA
839,FCGR2B
840,GM10522
841,FCGR4
842,FCGR3
843,CFAP126
844,SDHC
845,MPZ
846,PCP4L1
847,NR1I3
848,TOMM40L
849,APOA2
850,FCER1G
851,NDUFS2
852,ADAMTS4
853,B4GALT3
854,PPOX
855,USP21
856,UFC1
857,GM20045
858,DEDD
859,NIT1
860,PFDN2
861,NECTIN4
862,ARHGAP30
863,USF1
864,TSTD1
865,F11R
866,B930036N10RIK
867,ALYREF2
868,CD244A
869,LY9
870,SLAMF7
871,CD48
872,SLAMF1
873,CD84
874,GM37065
875,SLAMF6
876,VANGL2
877,NCSTN
878,COPA
879,PEX19
880,DCAF8
881,PEA15A
882,CASQ1
883,ATP1A4
884,IGSF8
885,ATP1A2
886,KCNJ10
887,PIGM
888,SLAMF9
889,IGSF9
890,TAGLN2
891,CFAP45
892,4933439K11RIK
893,VSIG8
894,SLAMF8
