,0
400,HDLBP
401,SEPT2
402,FARP2
403,STK25
404,BOK
405,THAP4
406,ATG4B
407,DTYMK
408,ING5
409,D2HGDH
410,GAL3ST2
411,GAL3ST2B
412,GAL3ST2C
413,PDCD1
414,FAM174A
415,ST8SIA4
416,D1ERTD622E
417,PPIP5K2
418,GIN1
419,PAM
420,B230216N24RIK
421,1810006J02RIK
422,GM29461
423,GM7967
424,RNF152
425,PIGN
426,RELCH
427,TNFRSF11A
428,GM7160
429,ZCCHC2
430,PHLPP1
431,BCL2
432,D630008O14RIK
433,KDSR
434,VPS4B
435,SERPINB7
436,SERPINB8
437,DSEL
438,TSN
439,NIFK
440,CLASP1
441,2900060B14RIK
442,GLI2
443,INHBB
444,RALB
445,GM27184
446,TMEM185B
447,EPB41L5
448,PTPN4
449,TMEM177
450,TMEM37
451,DBI
452,3110009E18RIK
453,STEAP3
454,C1QL2
455,MARCO
456,EN1
457,INSIG2
458,CCDC93
459,DDX18
460,DPP10
461,ACTR3
462,SLC35F5
463,NCKAP5
464,MGAT5
465,TMEM163
466,2900009J06RIK
467,CCNT2
468,MAP3K19
469,RAB3GAP1
470,ZRANB3
471,R3HDM1
472,UBXN4
473,MCM6
474,DARS
475,CXCR4
476,GM15675
477,CD55
478,GM16083
479,PFKFB2
480,YOD1
481,AA986860
482,GM15848
483,PIGR
484,FCMR
485,IL10
486,MAPKAPK2
487,DYRK3
488,EIF2D
489,RASSF5
490,IKBKE
491,SRGAP2
492,FAM72A
493,CTSE
494,RAB7B
495,SLC41A1
496,RAB29
497,NUCKS1
498,SLC45A3
499,ELK4
500,MFSD4A
501,CDK18
502,KLHDC8A
503,NUAK2
504,TMCC2
505,DSTYK
506,6030442K20RIK
507,RBBP5
508,TMEM81
509,NFASC
510,LRRN2
511,MDM4
512,PIK3C2B
513,PPP1R15B
514,PLEKHA6
515,SOX13
516,SNRPE
517,ZC3H11A
518,LAX1
519,ATP2B4
520,PRELP
521,FMOD
522,BTG2
523,CHIL1
524,ADORA1
525,PPFIA4
526,TMEM183A
527,CYB5R1
528,ADIPOR1
529,KLHL12
530,RABIF
531,KDM5B
532,PPP1R12B
533,UBE2T
534,PTPN7
535,ARL8A
536,RNPEP
537,TIMM17A
538,LMOD1
539,SHISA4
540,IPO9
541,NAV1
542,CSRP1
543,PHLDA3
544,TNNI1
545,LAD1
546,TNNT2
547,TMEM9
548,CACNA1S
549,KIF21B
550,CAMSAP2
551,9230116N13RIK
552,DDX59
553,KIF14
554,GM33994
555,ZFP281
556,GM19705
557,NR5A2
558,A430106G13RIK
559,PTPRC
560,GM28556
561,ATP6V1G3
562,NEK7
563,2310009B15RIK
564,DENND1B
565,ZBTB41
566,ASPM
567,CFH
568,CDC73
569,B3GALT2
570,GLRX2
571,RO60
572,UCHL5
573,GM29170
574,RGS2
575,RGS13
576,RGS1
577,RGS18
578,BRINP3
579,A230059L01RIK
580,PLA2G4A
581,ODR4
582,TPR
583,PRG4
584,HMCN1
585,C730036E19RIK
586,GM10138
587,IVNS1ABP
588,SWT1
589,TRMT1L
590,RNF2
591,FAM129A
592,2810414N06RIK
593,EDEM3
594,1700025G04RIK
595,TSEN15
596,COLGALT2
597,RGL1
598,ARPC5
599,NCF2
600,SMG7
601,NMNAT2
602,LAMC2
603,LAMC1
604,E330020D12RIK
605,SHCBP1L
606,DHX9
607,NPL
608,RGS16
609,RNASEL
610,TEDDM2
611,GLUL
612,GM29291
613,CACNA1E
614,GM9530
615,IER5
616,MR1
617,STX6
618,BC034090
619,XPR1
620,GM5532
621,ACBD6
622,QSOX1
623,CEP350
624,TOR1AIP1
625,TOR1AIP2
626,AXDND1
627,GM2000
628,SOAT1
629,ABL2
630,TOR3A
631,FAM20B
632,RALGPS2
633,4930439D14RIK
634,GM28694
635,RASAL2
636,CRYZL2
637,SEC16B
638,BRINP2
639,ASTN1
640,COP1
641,4930523C07RIK
642,TNN
643,MRPS14
644,CACYBP
645,RABGAP1L
646,GM37328
647,RC3H1
648,SERPINC1
649,ZBTB37
650,GAS5
651,DARS2
652,CENPL
653,KLHL20
654,PRDX6
655,FASL
656,SUCO
657,PIGC
658,DNM3
659,DNM3OS
660,EEF1AKNMT
661,VAMP4
662,PRRC2C
663,FMO1
664,FMO2
665,PRRX1
666,GORAB
667,KIFAP3
668,SCYL3
669,BC055324
670,METTL18
671,SELL
672,SELP
673,F5
674,SLC19A2
675,CCDC181
676,BLZF1
677,NME7
678,ATP1B1
679,GM26685
680,DPT
681,XCL1
682,SFT2D2
683,TIPRL
684,GPR161
685,DCAF6
686,MPC2
687,MPZL1
688,RCSD1
689,CREG1
690,GM16565
691,CD247
692,GM37469
693,POU2F1
694,DUSP27
695,ILDR2
696,GM15853
697,TADA1
698,POGK
699,GM16701
700,GM16701-1
701,FAM78B
702,UCK2
703,TMCO1
704,ALDH9A1
705,MGST3
706,RXRG
707,PBX1
708,NUF2
709,RGS5
710,RGS4
711,HSD17B7
712,3110045C21RIK
713,DDR2
714,UAP1
715,UHMK1
716,SH2D1B1
717,GM7694
718,OLFML2B
719,ATF6
720,DUSP12
721,GM26620
722,FCRLA
723,FCGR2B
724,GM10522
725,FCGR4
726,FCGR3
727,CFAP126
728,SDHC
729,MPZ
730,PCP4L1
731,TOMM40L
732,APOA2
733,FCER1G
734,NDUFS2
735,ADAMTS4
736,B4GALT3
737,PPOX
738,USP21
739,UFC1
740,GM20045
741,DEDD
742,NIT1
743,PFDN2
744,KLHDC9
745,NECTIN4
746,ARHGAP30
747,USF1
748,TSTD1
749,F11R
750,B930036N10RIK
751,ALYREF2
752,CD244A
753,LY9
754,SLAMF7
755,A630035G10RIK
756,CD48
757,SLAMF1
758,CD84
759,GM37065
760,SLAMF6
761,VANGL2
762,NCSTN
763,COPA
