,0
297,ABCC5
298,ABCD1
299,ABCD3
300,ABCD4
301,ABCE1
302,ABCF1
303,ABCF2
304,ABCF3
305,ABCG1
306,ABCG3
307,ABHD1
308,ABHD10
309,ABHD11
310,ABHD12
311,ABHD13
312,ABHD14A
313,ABHD14B
314,ABHD16A
315,ABHD17A
316,ABHD17B
317,ABHD17C
318,ABHD18
319,ABHD2
320,ABHD5
321,ABHD6
322,ABHD8
323,ABI1
324,ABI2
325,ABI3
326,ABL1
327,ABL2
328,ABLIM1
329,ABR
330,ABRACL
331,ABRAXAS1
332,ABRAXAS2
333,ABT1
334,ABTB1
335,ABTB2
336,AC022775.2
337,AC099934.3
338,AC099934.5
339,AC102554.1
340,AC102815.2
341,AC107645.1
342,AC112945.1
343,AC117232.1
344,AC117588.1
345,AC120406.1
346,AC121357.1
347,AC121801.1
348,AC121965.1
349,AC122305.4
350,AC122335.2
351,AC122539.3
352,AC123067.1
353,AC123935.1
354,AC123954.1
355,AC124680.1
356,AC124709.1
357,AC125206.2
358,AC125311.2
359,AC126250.1
360,AC126549.2
361,AC129597.1
362,AC129975.1
363,AC131033.1
364,AC131178.1
365,AC132474.1
366,AC132863.1
367,AC132954.2
368,AC135377.1
369,AC137842.2
370,AC140209.1
371,AC142113.2
372,AC148324.1
373,AC149588.1
374,AC151971.2
375,AC153143.1
376,AC153516.1
377,AC154141.1
378,AC154477.1
379,AC154548.1
380,AC154563.1
381,AC154627.2
382,AC154682.1
383,AC154767.3
384,AC154855.1
385,AC156031.1
386,AC158777.2
387,AC159244.1
388,AC159622.1
389,AC160336.1
390,AC160930.2
391,AC160958.1
392,AC160962.1
393,AC163354.1
394,AC163637.2
395,AC164623.1
396,AC166356.1
397,AC166574.2
398,AC174678.2
399,AC174678.3
400,AC175538.2
401,ACAA1A
402,ACAA1B
403,ACAA2
404,ACACA
405,ACAD8
406,ACAD9
407,ACADL
408,ACADM
409,ACADS
410,ACADSB
411,ACADVL
412,ACAP1
413,ACAP2
414,ACAP3
415,ACAT1
416,ACAT2
417,ACBD3
418,ACBD4
419,ACBD5
420,ACBD6
421,ACCS
422,ACD
423,ACER3
424,ACIN1
425,ACLY
426,ACO1
427,ACO2
428,ACOT13
429,ACOT2
430,ACOT7
431,ACOT8
432,ACOT9
433,ACOX1
434,ACOX3
435,ACP1
436,ACP2
437,ACP5
438,ACP6
439,ACPP
440,ACRBP
441,ACSBG1
442,ACSF2
443,ACSL1
444,ACSL4
445,ACSL5
446,ACSS1
447,ACSS2
448,ACTB
449,ACTG-PS1
450,ACTG1
451,ACTL6A
452,ACTN1
453,ACTN2
454,ACTN4
455,ACTR10
456,ACTR1A
457,ACTR1B
458,ACTR2
459,ACTR3
460,ACTR5
461,ACTR6
462,ACTR8
463,ACY1
464,ACYP1
465,ACYP2
466,ADA
467,ADAL
468,ADAM10
469,ADAM17
470,ADAM19
471,ADAM8
472,ADAMTS10
473,ADAMTS6
474,ADAP1
475,ADAR
476,ADAT1
477,ADAT2
478,ADAT3
479,ADCK1
480,ADCK2
481,ADCK5
482,ADCY3
483,ADCY7
484,ADD1
485,ADD3
486,ADGRE5
487,ADGRG1
488,ADGRG5
489,ADGRL1
490,ADH5
491,ADI1
492,ADIPOR1
493,ADIPOR2
494,ADK
495,ADNP
496,ADNP2
497,ADO
498,ADORA2A
499,ADPGK
500,ADPRH
501,ADPRHL2
502,ADPRM
503,ADRB1
504,ADRB2
505,ADRBK1
506,ADRM1
507,ADSL
508,ADSS
509,AEBP2
510,AEN
511,AES
512,AFF1
513,AFF4
514,AFG3L1
515,AFG3L2
516,AFMID
517,AFTPH
518,AGA
519,AGAP2
520,AGAP3
521,AGFG1
522,AGFG2
523,AGGF1
524,AGK
525,AGL
526,AGO1
527,AGO2
528,AGO3
529,AGPAT1
530,AGPAT2
531,AGPAT3
532,AGPAT4
533,AGPAT5
534,AGPS
535,AGTPBP1
536,AGTRAP
537,AHCTF1
538,AHCY
539,AHCYL1
540,AHCYL2
541,AHDC1
542,AHI1
543,AHNAK
544,AHSA1
545,AHSA2
546,AI314180
547,AI413582
548,AI467606
549,AI480526
550,AI504432
551,AI506816
552,AI597479
553,AI662270
554,AI837181
555,AI846148
556,AI847159
557,AI987944
558,AIDA
559,AIFM1
560,AIG1
561,AIM1
562,AIM2
563,AIMP1
564,AIMP2
565,AIP
566,AIRN
567,AK010878
568,AK157302
569,AK2
570,AK3
571,AK6
572,AKAP10
573,AKAP11
574,AKAP12
575,AKAP13
576,AKAP8
577,AKAP8L
578,AKAP9
579,AKIP1
580,AKIRIN1
581,AKIRIN2
582,AKNA
583,AKR1A1
584,AKR1B10
585,AKR1B3
586,AKR1B8
587,AKR1C13
588,AKR1E1
589,AKR7A5
590,AKT1
591,AKT1S1
592,AKT2
593,AKT3
594,AKTIP
595,AL731706.1
596,AL845457.1
597,ALAD
598,ALAS1
599,ALCAM
600,ALDH16A1
601,ALDH18A1
602,ALDH2
603,ALDH3A2
604,ALDH7A1
605,ALDH9A1
606,ALDOA
607,ALDOC
608,ALG1
609,ALG11
610,ALG12
611,ALG13
612,ALG14
613,ALG2
614,ALG3
615,ALG5
616,ALG6
617,ALG8
618,ALG9
619,ALKBH1
620,ALKBH2
621,ALKBH3
622,ALKBH4
623,ALKBH5
624,ALKBH6
625,ALKBH7
626,ALKBH8
627,ALS2
628,ALS2CL
629,ALYREF
630,ALYREF2
631,AMBRA1
632,AMD-PS3
633,AMD1
634,AMD2
635,AMDHD2
636,AMER1
637,AMFR
638,AMICA1
639,AMMECR1
640,AMMECR1L
641,AMN1
642,AMPD2
643,AMY1
644,AMZ2
645,ANAPC1
646,ANAPC10
647,ANAPC11
648,ANAPC13
649,ANAPC15
650,ANAPC16
651,ANAPC2
652,ANAPC4
653,ANAPC5
654,ANAPC7
655,ANGEL2
656,ANGPTL4
657,ANGPTL6
658,ANK
659,ANKFY1
660,ANKHD1
661,ANKIB1
662,ANKLE1
663,ANKLE2
664,ANKMY2
665,ANKRA2
666,ANKRD10
667,ANKRD11
668,ANKRD12
669,ANKRD13A
670,ANKRD13C
671,ANKRD16
672,ANKRD17
673,ANKRD26
674,ANKRD27
675,ANKRD28
676,ANKRD37
677,ANKRD39
678,ANKRD40
679,ANKRD44
680,ANKRD46
681,ANKRD49
682,ANKRD54
683,ANKRD9
684,ANKS3
685,ANKZF1
686,ANLN
687,ANO10
688,ANO6
689,ANP32A
690,ANP32B
691,ANP32B-PS1
692,ANP32E
693,ANTXR2
694,ANXA1
695,ANXA11
696,ANXA2
697,ANXA4
698,ANXA5
699,ANXA6
700,ANXA7
701,AP1AR
702,AP1B1
703,AP1G1
704,AP1G2
705,AP1M1
706,AP1S1
707,AP1S2
708,AP1S3
709,AP2A1
710,AP2A2
711,AP2B1
712,AP2M1
713,AP2S1
714,AP3B1
715,AP3D1
716,AP3M1
717,AP3M2
718,AP3S1
719,AP3S2
720,AP4B1
721,AP4E1
722,AP4M1
723,AP4S1
724,AP5B1
725,AP5M1
726,AP5S1
727,AP5Z1
728,APAF1
729,APBA3
730,APBB1
731,APBB1IP
732,APC
733,APEH
734,APEX1
735,APEX2
736,APH1A
737,API5
738,APIP
739,APITD1
740,APLF
741,APLP1
742,APLP2
743,APMAP
744,APOA1BP
745,APOBEC1
746,APOBEC2
747,APOBEC3
748,APOBR
749,APOE
750,APOL7B
751,APOL7E
752,APOO
753,APOO-PS
754,APOOL
755,APOPT1
756,APP
757,APPBP2
758,APPL1
759,APPL2
760,APRT
761,APTX
762,AQP3
763,AQR
764,AR
765,ARAF
766,ARAP1
767,ARAP2
768,ARCN1
769,AREL1
770,ARF1
771,ARF2
772,ARF3
773,ARF4
774,ARF5
775,ARF6
776,ARFGAP1
777,ARFGAP2
778,ARFGAP3
779,ARFGEF1
780,ARFGEF2
781,ARFIP1
782,ARFIP2
783,ARFRP1
784,ARGLU1
785,ARHGAP1
786,ARHGAP10
787,ARHGAP11A
788,ARHGAP12
789,ARHGAP15
790,ARHGAP17
791,ARHGAP18
792,ARHGAP19
793,ARHGAP25
794,ARHGAP26
795,ARHGAP27
796,ARHGAP27OS3
