Gene name
MT-ND1
MT-ND2
MT-CO1
MT-CO2
MT-ATP8
MT-ATP6
MT-CO3
MT-ND3
MT-ND4L
MT-ND4
MT-ND5
MT-ND6
MT-CYB
AC240274.1
BX004987.1
OPRL1
NPBWR2
MYT1
AL121581.1
PCMTD2
KIR3DL3
KIR2DL3
KIR2DL1
KIR2DL4
KIR3DL1
KIR3DL3
KIR3DL3
KIR2DL3
KIR2DL1
KIR2DL3
KIR2DL4
KIR3DL1
KIR2DS4
KIR2DL1
KIR3DL2
KIR2DL4
KIR3DL3
KIR2DS4
KIR3DL2
FCAR
GU182359.6
GU182359.1
KIR3DL3
KIR2DL4
KIR3DL3
KIR3DL1
KIR3DL3
GU182345.5
KIR2DL3
GU182345.3
GU182345.4
KIR2DL1
GU182345.8
KIR2DL3
KIR2DL1
KIR2DL1
KIR2DL4
GU182359.7
KIR2DL4
KIR3DL3
KIR3DL1
NCR1
KIR2DL4
GU182351.1
GU182351.7
GU182359.5
GU182351.4
GU182359.8
GU182359.3
KIR3DL2
KIR3DL1
GU182351.10
KIR2DL1
KIR3DL3
KIR3DL1
KIR3DL2
SNTG2
KIR2DL4
KIR2DL3
KIR3DL3
KIR2DL1
KIR3DL3
AL133414.10
KIR3DL3
KIR3DL3
KIR2DS2
KIR3DL1
KIR2DL2
KIR3DL2
KIR2DL5B
KIR3DL3
KIR2DS3
GU182357.3
KIR2DL1
GU182357.10
GU182357.9
GU182357.1
KIR2DL4
KIR2DL4
KIR2DL3
KIR3DL3
KIR2DS4
KIR2DL1
KIR2DL1
KIR3DL2
KIR2DL3
AL133414.2
KIR2DL1
KIR3DP1
KIR2DL4
KIR2DL4
GU182343.8
GU182349.4
KIR2DL3
GU182349.2
KIR3DL3
KIR2DL4
GU182343.2
KIR2DS2
KIR3DL1
KIR2DL4
GU182343.1
KIR2DL4
KIR3DS1
KIR2DL1
KIR3DL1
KIR3DL1
AL133414.8
KIR3DL1
KIR3DL1
KIR2DL4
KIR2DL2
KIR3DP1
KIR2DL4
KIR2DL5A
GU182339.1
KIR2DS1
AL133414.5
KIR3DL2
KIR3DL1
AL133414.9
AL133414.1
KIR3DL2
KIR3DL2
KIR3DL1
KIR3DL2
KIR2DS4
KIR3DL2
KIR3DL2
FCAR
KIR2DS4
HS3ST6
KIR3DL2
KIR3DL3
BX072566.1
KIR3DL2
FCAR
KIR2DL3
KIR2DL1
KIR3DL3
KIR3DL3
KIR2DL4
FCAR
ZNF66
NCR1
KIR2DL3
KIR2DL3
KIR2DL1
KIR2DL1
ZNF85
KIR3DL1
KIR2DL4
KIR2DL4
NCR1
ZNF430
KIR3DL1
NCR1
KIR3DL1
KIR3DL2
KIR2DS4
KIR3DL3
KIR3DL2
GU182347.5
GU182347.8
KIR3DL2
GU182347.13
GU182347.9
KIR2DL1
KIR2DL4
FCAR
GU182347.2
SBNO2
INTS3
NCR1
GU182347.6
GU182347.11
GU182347.3
KIR3DL2
TRAPPC12
KRTAP9-2
KRTAP9-3
KRTAP9-4
KRTAP9-9
AC209539.5
ADI1
KRTAP29-1
AL513523.9
SLC27A3
GATAD2B
ARHGEF26
AC007325.1
AC007325.4
AC007325.2
DHX36
DLG5
DNAH10
CCDC92
PIWIL1
ZNF100
ZNF43
KRT12
KRT20
KRT23
KRT39
KRT40
KRTAP3-3
KRTAP3-2
KRTAP3-1
KRTAP1-5
KRTAP1-4
KRTAP1-3
KRTAP1-1
KRTAP2-1
AC037482.5
KRTAP2-3
KRTAP2-4
AC037482.6
KRTAP4-8
KRTAP4-16
KRTAP4-9
KRTAP4-11
KRTAP4-12
PRB1
KIR3DL3
KIR3DL3
KIR2DL3
KIR2DL1
GU182353.3
GU182353.7
KIR2DL4
KRTAP9-2
KRTAP9-4
KRTAP9-9
KRTAP9-6
KRTAP9-7
KRTAP29-1
GU182353.2
KIR2DL4
KIR3DL1
KIR3DL1
DSEL
OR9G1
OR9G9
OR9G4
KIR2DS4
KIR3DL2
KIR2DS4
KIR3DL2
ERICH1
KIR3DL3
GU182355.7
GU182355.10
GU182355.9
CTDP1
KIR2DL4
AC011043.1
AC011043.2
GU182355.6
GU182355.5
GU182355.3
GU182355.2
KIR3DL2
PROP1
SNTG2
APOBEC3A
TPO
AP2A2
SEPTIN9
PTCHD3
NOSTRIN
PROP1
SPC25
G6PC2
ABCB11
KCNQ2
CYFIP1
CRIM1
ADAMTS12
RXFP3
SLC45A2
TUBGCP5
KIR3DL3
TBCD
FTCD
TUBGCP5
KIR2DL3
KIR2DL1
KIR2DL4
PTDSS2
GOLGA6L1
SKA1
GOLGA6L22
IFNGR2
SPATC1L
SERF1B
LSM14A
RNH1
DLGAP2
AADACL2
LSS
SMN2
B3GNTL1
KIR3DL3
GARRE1
TMEM50B
GOLGA6L1
DUSP8
GU182352.1
UTP4
AP006285.3
KCNIP4
KRTAP5-1
KRTAP5-2
AC213203.2
AC213203.1
KRTAP5-3
KRTAP5-4
KRTAP5-5
CNTNAP2
DUSP8
PAXBP1
DNAJC28
KRTAP5-1
KRTAP5-2
METRNL
KRTAP5-3
KRTAP5-4
GART
AC023491.2
C21orf62
SERF1A
KRTAP5-5
HRAS
GU182352.7
GU182352.6
KRTAP5-6
KIR2DL3
IFITM10
GU182352.12
SNTB2
AC145212.1
MAFIP
KIR3DL2
SMN1
AC024940.6
KIR2DL1
OR2T4
OR2T6
OR2T1
OR2T7
OR2T2
SINHCAF
OR2T3
LRRC56
OR2T5
DECR2
LMNTD2
NAIP
SMDT1
NDUFA6
NKD2
SMDT1
RASSF7
NXN
NDUFA6
TIMM22
ABR
YTHDC1
SLC12A7
PHRF1
CYP2D6
RAB11FIP3
GTF2H2
DLL1
FAM120B
AC236040.1
KIR2DL4
SMDT1
TMPRSS11E
NDUFA6
MUC20
MUC20
UGT2B15
MUC4
PLCH2
MUC4
UGT2B10
KIF26B
TCF20
UGT2A3
PANK4
VSTM1
AL592183.1
TCF20
HES5
MUC20
MUC20
TNFRSF14
MUC4
TARM1
IRF7
OSCAR
MUC4
NDUFA3
TFPT
PTPRN2
OR5P2
AC012314.11
OR5P3
VSTM1
BDP1
OR10A3
NLRP10
CNOT3
KIR3DL1
CDHR5
LENG1
GBA
TMC4
PRXL2B
MBOAT7
TARM1
OSCAR
VSTM1
TSEN34
TMEM179
RPS9
MCCC2
AC093830.1
C14orf180
VSTM1
TDO2
MUC20
KIR2DS4
TRIM27
KIR3DL2
NDUFA3
LINC01556
TFPT
MUC4
MMEL1
ZNF311
AC012314.12
SCT
DRD4
CTSO
DEAF1
OR2W1
CR547123.3
OR2B3
OR5T2
OR2J3
OR5T3
OR5T1
FAM189B
OR8H1
OR2J2
CNOT3
TARM1
OSCAR
OR8K1
OR8J1
OR14J1
OR8U8
OR8U9
OR5V1
OR12D3
OR12D2
TARM1
OR11A1
OSCAR
OR10C1
OR2H1
NDUFA3
LENG1
TFPT
TMC4
MAS1L
ZNF705G
AC012314.7
TRIM27
DEFB4B
NDUFA3
GABBR1
TFPT
AC011476.12
DEFB103B
AC012314.13
SPAG11B
TTC34
FAM20C
CNOT3
VSTM1
SCAMP3
HNRNPCL2
NLRP7
PRAMEF25
CNOT3
LINC01556
HNRNPCL4
TRIM27
ZNF311
PRAMEF9
DEFB104B
LENG1
DEFB106B
TMC4
PRAMEF18
NLRP2
MBOAT7
OR2W1
DEFB105B
PRAMEF5
AL929561.10
OR2B3
CLK2
DEFB107B
TRIM27
OR2J3
OR2J2
GP6
PRR23D1
MBOAT7
PRAMEF8
LENG1
OR11A1
PRAMEF33
OR10C1
TSEN34
OR2H1
TMC4
RDH13
LINC01556
OR2W1
LINC01556
CR933783.3
OR2B3
RPS9
ZNF311
OR2J1
MAS1L
TARM1
OR2J3
OR2J2
GPX6
GPX5
OR2W1
BX248413.4
OR14J1
OSCAR
VSTM1
OR2B3
GABBR1
OR5V1
LILRA3
OR2J3
OR12D3
ZBED9
TSEN34
OR2J2
OR12D2
SLC43A2
DTX2
OR11A1
HCN3
OR14J1
OR10C1
OR5V1
OR2H1
OR12D3
TRIM27
OR12D2
TRIM27
OR11A1
BTG3
LILRA5
AC004556.3
PKLR
OR10C1
ZNF311
OR2H1
MAS1L
UPK3B
MBOAT7
OR2W1
CR388407.3
GABBR1
MAS1L
OR2B3
MRPS36
RPS9
OR2J3
OR2J2
MOG
AC226007.1
CDK7
SPDYE16
OR14J1
LILRA4
OR12D3
TARM1
AL662796.1
OR12D2
OSCAR
OR11A1
KIR2DS4
LINC01556
POMZP3
OR10C1
ZNF311
ZNF311
OR2H1
LAIR1
OR2W1
OR2W1
AL662852.6
OR2B3
NDUFA3
OR2B3
OR2J3
MAS1L
OR2J3
OR2J2
OR2J2
OR14J1
NDUFA3
OR11A1
TFPT
OR14J1
OR10C1
OR5V1
LILRB3
OR2H1
OR12D3
GABBR1
OR12D2
AC012314.3
SCARF1
OR11A1
MAS1L
OR10C1
TSEN34
KIR3DL2
OR2H1
TFPT
CNOT3
GABBR1
MAS1L
UBD
CEACAM21
LENG1
RPS9
TMC4
CCDC125
GABBR1
PRPF31
MBOAT7
RILP
TSEN34
CEACAM4
PRPF8
RPS9
CEACAM7
AK6
LILRB3
LILRA6
KIR2DL1
KIR2DL4
UBD
TAF9
OR2H2
MOG
LILRA6
CNOT3
ZFP57
RAD17
HLA-F
SLC39A11
KIR3DS1
UBD
TLCD2
LILRB5
ZNF676
LENG1
OR2H2
TMC4
ZNF729
KIR2DL5A
MOG
UBD
OR2H2
KIR2DS3
KIR2DS1
MOG
LILRA6
KIR3DL2
AGK
HLA-G
UBD
WDR81
OR2H2
MBOAT7
DENND11
UBD
MOG
OR2H2
MOG
LILRB2
FCAR
WEE2
ZFP57
ZFP57
LILRB5
SSBP1
C22orf15
SERPINF2
HLA-F
HLA-F
TSEN34
HLA-A
CHCHD10
OR2H2
NCR1
MMP11
MOG
RPS9
LILRB5
SERPINF1
LILRA3
AP000349.1
SMARCB1
LILRA5
LILRB2
HLA-G
VSTM1
LAIR1
HLA-G
TTYH1
NLRP7
ZFP57
ANO4
LILRB2
HLA-F
SLC5A8
ZFP57
DERL3
NLRP2
MARVELD2
HLA-G
LILRB3
TARM1
OSCAR
GP6
ZFP57
RDH13
HLA-F
IQSEC3
HLA-A
NDUFA3
HLA-A
TFPT
LILRA3
SLC2A11
OCLN
AC012314.5
AC026369.8
HLA-A
LILRA5
CNOT3
AC142525.4
ARHGAP27
HLA-G
GTF2H2
