,term,variable,value,p,padj,s1,s2
1831,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,21,0.01085549295846337,0.01085549295846337,0.024195419830563107,Th17p_Vehicle,Th17p_DFMO
1832,KEGG_MM_GALACTOSE_METABOLISM,21,0.014497533793686497,0.014497533793686497,0.03236831753765762,Th17p_Vehicle,Th17p_DFMO
1910,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,21,0.00327895174278508,0.00327895174278508,0.012754193813217672,Th17p_Vehicle,Th17p_DFMO
