,pvn,nvp,term,padj_pvn,padj_nvp
Inositol phosphate metabolism,0.8478154258607764,0.0004541879209160301,Inositol phosphate metabolism,1.0,0.0004656863492936511
Heme synthesis,0.5272061669568486,0.0024545479001896924,Heme synthesis,0.7362706814397368,0.004970459497884127
Cholesterol metabolism,0.724483200638284,0.0019231849757745262,Cholesterol metabolism,0.8150436007180695,0.007417999192273173
Aminosugar metabolism,0.36469356439026024,0.008582551562831513,Aminosugar metabolism,0.67136769808207,0.012414047796238437
Keratan sulfate synthesis,0.22134529852382548,0.003612483448553597,Keratan sulfate synthesis,0.23284375558999823,0.020900797095202955
N-glycan degradation,0.5272061669568486,0.02545612630197109,N-glycan degradation,0.8057301796887687,0.0327293052453914
